"","beeid","datetime","time","thoraxtemp","second","minute","start_time","elapse_sec","elapse_min"
"257","w14",2010-01-18 17:44:31,17:44:31,29.44,30,30s,63600,271,4.51666666666667
"258","w14",2010-01-18 17:45:01,17:45:01,30.17,30,30s,63600,301,5.01666666666667
"259","w14",2010-01-18 17:45:31,17:45:31,31.57,30,30s,63600,331,5.51666666666667
"260","w14",2010-01-18 17:46:01,17:46:01,31.95,30,30s,63600,361,6.01666666666667
"261","w14",2010-01-18 17:46:32,17:46:32,33.07,31,31s,63600,392,6.53333333333333
"262","w14",2010-01-18 17:47:11,17:47:11,33.7,39,39s,63600,431,7.18333333333333
"263","w14",2010-01-18 17:47:31,17:47:31,35,20,20s,63600,451,7.51666666666667
"264","w14",2010-01-18 17:48:01,17:48:01,35.7,30,30s,63600,481,8.01666666666667
"265","w14",2010-01-18 17:48:33,17:48:33,36.92,32,32s,63600,513,8.55
"266","w14",2010-01-18 17:49:01,17:49:01,36.33,28,28s,63600,541,9.01666666666667
"267","w14",2010-01-18 17:49:31,17:49:31,38.32,30,30s,63600,571,9.51666666666667
"268","w14",2010-01-18 17:50:01,17:50:01,38.77,30,30s,63600,601,10.0166666666667
"269","w15",2010-01-18 17:51:07,17:51:07,15.45,0,0s,64267,0,0
"270","w15",2010-01-18 17:51:38,17:51:38,18.88,31,31s,64267,31,0.516666666666667
"271","w15",2010-01-18 17:52:09,17:52:09,21.59,31,31s,64267,62,1.03333333333333
"272","w15",2010-01-18 17:52:42,17:52:42,23.57,33,33s,64267,95,1.58333333333333
"273","w15",2010-01-18 17:53:09,17:53:09,25.26,27,27s,64267,122,2.03333333333333
"274","w15",2010-01-18 17:53:38,17:53:38,25.79,29,29s,64267,151,2.51666666666667
"275","w15",2010-01-18 17:54:08,17:54:08,26.03,30,30s,64267,181,3.01666666666667
"276","w15",2010-01-18 17:54:38,17:54:38,26.6,30,30s,64267,211,3.51666666666667
"277","w15",2010-01-18 17:55:07,17:55:07,27.61,29,29s,64267,240,4
"278","w15",2010-01-18 17:55:38,17:55:38,28.41,31,31s,64267,271,4.51666666666667
"279","w15",2010-01-18 17:56:08,17:56:08,29.22,30,30s,64267,301,5.01666666666667
"280","w15",2010-01-18 17:56:38,17:56:38,31.22,30,30s,64267,331,5.51666666666667
"281","w15",2010-01-18 17:57:08,17:57:08,32.8,30,30s,64267,361,6.01666666666667
"282","w15",2010-01-18 17:57:38,17:57:38,33.78,30,30s,64267,391,6.51666666666667
"283","w15",2010-01-18 17:58:09,17:58:09,35.29,31,31s,64267,422,7.03333333333333
"284","w15",2010-01-18 17:58:38,17:58:38,35.78,29,29s,64267,451,7.51666666666667
"285","w15",2010-01-18 17:59:09,17:59:09,35.28,31,31s,64267,482,8.03333333333333
"286","w15",2010-01-18 17:59:38,17:59:38,34.29,29,29s,64267,511,8.51666666666667
"287","w15",2010-01-18 18:00:08,18:00:08,35.16,30,30s,64267,541,9.01666666666667
"288","w15",2010-01-18 18:00:38,18:00:38,32.79,30,30s,64267,571,9.51666666666667
"289","w15",2010-01-18 18:01:08,18:01:08,31.91,30,30s,64267,601,10.0166666666667
"290","w16",2010-01-18 18:02:28,18:02:28,15.61,0,0s,64948,0,0
"291","w16",2010-01-18 18:02:58,18:02:58,19.61,30,30s,64948,30,0.5
"292","w16",2010-01-18 18:03:28,18:03:28,22.21,30,30s,64948,60,1
"293","w16",2010-01-18 18:03:59,18:03:59,24.15,31,31s,64948,91,1.51666666666667
"294","w16",2010-01-18 18:04:29,18:04:29,26.01,30,30s,64948,121,2.01666666666667
"295","w16",2010-01-18 18:04:59,18:04:59,26.18,30,30s,64948,151,2.51666666666667
"296","w16",2010-01-18 18:05:29,18:05:29,26.9,30,30s,64948,181,3.01666666666667
"297","w16",2010-01-18 18:05:59,18:05:59,28.2,30,30s,64948,211,3.51666666666667
"298","w16",2010-01-18 18:06:30,18:06:30,29.82,31,31s,64948,242,4.03333333333333
"299","w16",2010-01-18 18:06:59,18:06:59,29.32,29,29s,64948,271,4.51666666666667
"300","w16",2010-01-18 18:07:29,18:07:29,31.91,30,30s,64948,301,5.01666666666667
"301","w16",2010-01-18 18:07:59,18:07:59,32.34,30,30s,64948,331,5.51666666666667
"302","w16",2010-01-18 18:08:29,18:08:29,33.74,30,30s,64948,361,6.01666666666667
"303","w16",2010-01-18 18:08:59,18:08:59,33.76,30,30s,64948,391,6.51666666666667
"304","w16",2010-01-18 18:09:29,18:09:29,35.19,30,30s,64948,421,7.01666666666667
